ID	altura	diametro	inclinacion	especie	origen	brotes
38	22	40	0	Alamo	Exotico	5
54	21	50	0	Alamo	Exotico	2
63	21	50	0	Alamo	Exotico	3
106	12	15	0	Alamo	Exotico	3
108	12	15	0	Alamo	Exotico	3
124	12	15	0	Alamo	Exotico	2
157	12	15	0	Alamo	Exotico	4
221	4	15	0	Ceibo	Nativo/Autoctono	4
641	22	34	0	Eucalipto	Exotico	2
649	22	34	0	Eucalipto	Exotico	3
734	22	34	0	Eucalipto	Exotico	2
742	22	34	0	Eucalipto	Exotico	2
805	22	34	0	Eucalipto	Exotico	1
845	22	34	0	Eucalipto	Exotico	3
850	22	34	0	Eucalipto	Exotico	3
956	21	32	0	Eucalipto	Exotico	2
991	21	32	0	Eucalipto	Exotico	2
1012	21	32	0	Eucalipto	Exotico	3
1101	21	32	0	Eucalipto	Exotico	2
1208	21	32	0	Eucalipto	Exotico	2
1413	33	110	0	Eucalipto	Exotico	3
1460	7	8	0	Alamo	Exotico	4
1736	18	68	5	Eucalipto	Exotico	3
1953	30	75	10	Eucalipto	Exotico	4
2007	21	45	20	Eucalipto	Exotico	5
2132	30	55	5	Eucalipto	Exotico	3
2314	20	49	3	Casuarina	Exotico	3
2413	16	18	0	Ficus	Exotico	4
2514	22	68	0	Casuarina	Exotico	3
2721	11	60	0	Palo borracho	Nativo/Autoctono	6
2839	19	40	11	Ceibo	Nativo/Autoctono	6
3070	17	65	40	Ceibo	Nativo/Autoctono	5
3416	17	47	0	Palo borracho	Nativo/Autoctono	7
3668	19	82	0	Jacaranda	Nativo/Autoctono	6
3755	12	65	5	Palo borracho	Nativo/Autoctono	4
3782	17	23	10	Acacia	Exotico	4
3897	17	34	0	Ficus	Exotico	2
3992	16	1	0	Jacaranda	Nativo/Autoctono	6
4080	3	4	0	Jacaranda	Nativo/Autoctono	5
4116	15	74	0	Fresno	Exotico	2
4117	15	83	0	Fresno	Exotico	3
4229	15	66	0	Palo borracho	Nativo/Autoctono	6
4426	10	22	10	Jacaranda	Nativo/Autoctono	6
4546	2	11	0	Ceibo	Nativo/Autoctono	4
4673	16	21	0	Palo borracho	Nativo/Autoctono	3
4775	19	26	0	Fresno	Exotico	2
4926	33	152	6	Eucalipto	Exotico	4
5162	16	14	0	Fresno	Exotico	5
5311	2	6	6	Ficus	Exotico	4
5477	9	20	0	Fresno	Exotico	3
5733	6	22	0	Palo borracho	Nativo/Autoctono	5
5734	12	30	0	Palo borracho	Nativo/Autoctono	5
5783	17	23	0	Alamo	Exotico	4
6323	4	6	0	Jacaranda	Nativo/Autoctono	4
6339	8	20	13	Jacaranda	Nativo/Autoctono	5
6367	17	24	13	Jacaranda	Nativo/Autoctono	3
6429	16	30	5	Alamo	Exotico	4
6525	13	43	0	Palo borracho	Nativo/Autoctono	5
6710	14	72	10	Palo borracho	Nativo/Autoctono	6
7768	19	40	0	Ceibo	Nativo/Autoctono	5
7941	11	15	0	Jacaranda	Nativo/Autoctono	5
7988	21	40	0	Casuarina	Exotico	4
8260	2	6	10	Ceibo	Nativo/Autoctono	5
8373	12	48	0	Fresno	Exotico	3
8836	19	29	12	Jacaranda	Nativo/Autoctono	4
9069	10	33	0	Palo borracho	Nativo/Autoctono	9
9295	11	66	0	Palo borracho	Nativo/Autoctono	4
9803	4	10	13	Ceibo	Nativo/Autoctono	5
9933	9	25	0	Fresno	Exotico	3
10046	16	30	0	Casuarina	Exotico	4
10116	16	56	0	Palo borracho	Nativo/Autoctono	6
10267	14	70	0	Palo borracho	Nativo/Autoctono	6
10442	6	30	0	Alamo	Exotico	2
10511	14	25	0	Alamo	Exotico	1
10877	19	23	0	Jacaranda	Nativo/Autoctono	5
10896	25	30	0	Alamo	Exotico	2
11131	18	70	3	Palo borracho	Nativo/Autoctono	5
11168	16	17	0	Palo borracho	Nativo/Autoctono	6
11191	9	30	0	Ficus	Exotico	2
11428	13	58	0	Casuarina	Exotico	3
11547	14	52	13	Jacaranda	Nativo/Autoctono	7
11623	12	30	8	Jacaranda	Nativo/Autoctono	6
11748	5	10	0	Alamo	Exotico	2
12220	10	34	0	Palo borracho	Nativo/Autoctono	5
12241	21	41	0	Alamo	Exotico	3
12324	2	18	0	Alamo	Exotico	3
12372	18	31	0	Casuarina	Exotico	2
12380	11	26	0	Casuarina	Exotico	4
12479	11	25	7	Casuarina	Exotico	5
12622	9	25	0	Casuarina	Exotico	3
12628	11	24	11	Casuarina	Exotico	3
12913	7	17	0	Palo borracho	Nativo/Autoctono	6
13079	18	40	0	Alamo	Exotico	3
13214	11	50	0	Palo borracho	Nativo/Autoctono	5
13350	20	40	0	Casuarina	Exotico	4
13428	14	42	0	Alamo	Exotico	4
13433	14	42	0	Alamo	Exotico	5
13637	16	25	0	Palo borracho	Nativo/Autoctono	5
13716	22	50	0	Eucalipto	Exotico	5
13957	5	5	0	Alamo	Exotico	4
14018	15	35	0	Alamo	Exotico	3
14164	14	46	8	Eucalipto	Exotico	2
14606	20	58	0	Eucalipto	Exotico	3
15081	15	18	0	Alamo	Exotico	1
15164	10	31	0	Palo borracho	Nativo/Autoctono	3
15461	8	25	0	Ceibo	Nativo/Autoctono	6
15479	7	25	0	Alamo	Exotico	3
15480	16	23	0	Alamo	Exotico	4
15612	3	6	0	Ficus	Exotico	1
16042	16	60	0	Casuarina	Exotico	2
16510	4	8	7	Jacaranda	Nativo/Autoctono	5
16626	2	3	0	Jacaranda	Nativo/Autoctono	4
16667	16	46	0	Fresno	Exotico	3
17182	2	2	0	Acacia	Exotico	2
17227	3	7	0	Jacaranda	Nativo/Autoctono	5
17359	28	55	0	Fresno	Exotico	3
17825	8	14	0	Fresno	Exotico	3
17867	7	12	12	Acacia	Nativo/Autoctono	5
18042	23	90	0	Palo borracho	Nativo/Autoctono	7
18466	11	50	0	Fresno	Exotico	4
18513	12	30	4	Palo borracho	Nativo/Autoctono	4
18571	7	45	12	Ceibo	Nativo/Autoctono	7
19105	9	47	12	Palo borracho	Nativo/Autoctono	6
19245	11	18	0	Fresno	Exotico	1
19355	10	20	0	Fresno	Exotico	2
19838	10	32	0	Casuarina	Exotico	2
19882	17	50	15	Eucalipto	Exotico	3
19935	7	31	3	Ceibo	Nativo/Autoctono	5
20216	11	90	20	Acacia	Exotico	5
20232	18	52	10	Jacaranda	Nativo/Autoctono	3
20525	16	30	0	Alamo	Exotico	3
20682	16	28	0	Jacaranda	Nativo/Autoctono	3
20962	1	50	0	Palo borracho	Nativo/Autoctono	5
21194	5	17	7	Ceibo	Nativo/Autoctono	3
21233	16	58	26	Casuarina	Exotico	3
21326	10	21	25	Jacaranda	Nativo/Autoctono	7
21462	15	60	0	Jacaranda	Nativo/Autoctono	6
21971	5	20	0	Ficus	Exotico	4
22226	6	5	0	Alamo	Exotico	4
22337	12	35	0	Palo borracho	Nativo/Autoctono	6
22473	6	32	0	Palo borracho	Nativo/Autoctono	4
22505	8	44	0	Palo borracho	Nativo/Autoctono	5
22608	13	33	0	Palo borracho	Nativo/Autoctono	6
22642	14	23	0	Alamo	Exotico	2
22683	15	32	0	Alamo	Exotico	5
22685	15	32	0	Alamo	Exotico	3
22925	10	14	0	Alamo	Exotico	3
23028	17	25	10	Jacaranda	Nativo/Autoctono	5
23105	6	103	0	Ceibo	Nativo/Autoctono	5
23474	7	8	0	Fresno	Exotico	3
23501	10	27	0	Jacaranda	Nativo/Autoctono	2
23542	24	60	12	Alamo	Exotico	4
23578	32	100	0	Eucalipto	Exotico	3
23864	15	48	0	Casuarina	Exotico	4
24211	18	30	0	Alamo	Exotico	3
24439	13	28	0	Casuarina	Exotico	4
24608	9	24	0	Casuarina	Exotico	2
24646	24	50	0	Alamo	Exotico	3
24698	11	17	0	Casuarina	Exotico	4
24753	12	14	0	Casuarina	Exotico	1
24955	13	22	0	Casuarina	Exotico	2
25100	20	50	0	Casuarina	Exotico	4
25106	7	12	5	Jacaranda	Nativo/Autoctono	4
25107	2	10	50	Acacia	Exotico	3
25134	14	59	0	Palo borracho	Nativo/Autoctono	5
25423	17	120	0	Alamo	Exotico	2
